"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.29070e+004,-3.40000e+002,0.00000e+000,0.00000e+000,1.00000e-002,1.00000e-002,1.00000e+000,1,0.00000e+000,-2.00000e+003,0.00000e+000,0.00000e+000
-8.30079e+004,-3.39844e+002,-9.67384e-001,2.01436e+000,1.10410e+001,1.56588e+000,1.17020e+000,1,4.00000e+000,-1.99600e+003,0.00000e+000,0.00000e+000
-8.31088e+004,-3.39688e+002,-1.93477e+000,4.02871e+000,2.20719e+001,3.12176e+000,1.34040e+000,1,8.00000e+000,-1.99200e+003,0.00000e+000,0.00000e+000
-8.32097e+004,-3.39533e+002,-2.90215e+000,6.04307e+000,3.31029e+001,4.67764e+000,1.51059e+000,1,1.20000e+001,-1.98800e+003,0.00000e+000,0.00000e+000
-8.33106e+004,-3.39377e+002,-3.86954e+000,8.05742e+000,4.41338e+001,6.23352e+000,1.68079e+000,1,1.60000e+001,-1.98400e+003,0.00000e+000,0.00000e+000
-8.34115e+004,-3.39221e+002,-4.83692e+000,1.00718e+001,5.51648e+001,7.78939e+000,1.85099e+000,1,2.00000e+001,-1.98000e+003,0.00000e+000,0.00000e+000
-8.35124e+004,-3.39065e+002,-5.80430e+000,1.20861e+001,6.61957e+001,9.34527e+000,2.02119e+000,1,2.40000e+001,-1.97600e+003,0.00000e+000,0.00000e+000
-8.36133e+004,-3.38910e+002,-6.77169e+000,1.41005e+001,7.72267e+001,1.09012e+001,2.19138e+000,1,2.80000e+001,-1.97200e+003,0.00000e+000,0.00000e+000
-8.37142e+004,-3.38754e+002,-7.73907e+000,1.61148e+001,8.82577e+001,1.24570e+001,2.36158e+000,1,3.20000e+001,-1.96800e+003,0.00000e+000,0.00000e+000
-8.38151e+004,-3.38598e+002,-8.70646e+000,1.81292e+001,9.92886e+001,1.40129e+001,2.53178e+000,1,3.60000e+001,-1.96400e+003,0.00000e+000,0.00000e+000
